Title,First,Middle,Last,Company,Job_Title,Board_Member,Trustee,Street_Address,Unit,City,State,Zip,Contribution_2020,Contribution_2019,Contribution_2018,Contribution_2017,Contribution_2016,string_field_18,int64_field_19
Ms.,Vera,E.,Carpenter,Carpenter Boating,Customer Service Representative, , ,39 Woodsman Ave.,,Bryan,WY,82935,,50,15,,60,,
Dr.,Stephen,V.,Carson,,, , ,8123 Cobblestone Ave.,,Rock Springs,WY,82901,,75,,75,80,,
Mr.,Gilberto,G.,Carson,,, , ,8115 Bank Ave. ,#26,Rock Springs,WY,82901,,,90,,65,,
Dr.,Sharon,,Carter,Resumewatch,Director, , ,97 Temple Drive,,Superior,WY,82905,55,60,40,8,20,,
Ms.,Melissa,J.,Castillo,,,TRUE, ,4 Beach Court,Unit A2,Reliance,WY,82901,30,,,35,60,,
Mr.,Brandon,D.,Chandler,,, , ,808 Hamilton Court,,Superior,WY,82905,,23,16,60,30,,
Ms.,Amanda,Y.,Chapman,,, , ,76 Manchester Dr.,,Rock Springs,WY,82902,70,20,5,40,72,,
Mrs.,Lucia,R.,Clayton,Best Taxes,Administrative Assistant, , ,296 West Division Street,,Rock Springs,WY,82901,10,20,,80,,,
Mrs.,Jackie,L.,Cobb,Bike United,, , ,768 Ketch Harbour Road,,Granger,WY,82934,,45,80,50,40,,
Ms.,Alicia,H.,Cole,,, , ,9387A Park St.,,Rock Springs,WY,82902,30,60,,,16,,
,Jeff,H.,Conner,JL Cal & Daughters,Production Designer,TRUE, ,58 Magnolia Drive,,Bryan,WY,82935,185,20,,35,12,,
Mrs.,Gertrude,A.,Copeland,G.T. Wisdom LLC,Writer, , ,9023 Linda Rd.,,Rock Springs,WY,82901,20,40,40,45,,,
,Maureen,,Craig,,, , ,427 NW. Fremont Street ,Apt. 3,Green River,WY,82935,,5,19,40,60,,
Ms.,Dora,S.,Crawford,Word Multimedia,Director, , ,9017 Prince Ave.,,Rock Springs,WY,82901,85,10,50,,75,,
Mr.,Herbert,,Cross,Owlshirts Co.,Designer,TRUE, ,88 South Avenue ,#4,Granger,WY,82934,50,75,80,30,97,,
Mrs.,Theresa,,Curry,Novibe,Vice President, , ,24 Winding Way Dr.,Unit 3,Rock Springs,WY,82901,90,85,50,75,60,,
Mr.,Thomas,A.,Daniel,,, , ,7470 Fairview Court,,Rock Springs,WY,82901,40,38,,25,,,
Mrs.,Dorothy,,Day,Option Optometrist,Manager, , ,8215 Hickory St.,,Rock Springs,WY,82902,35,90,5,90,60,,
Mr.,Abraham,,Dixon,Wyoming Massage,Therapist, , ,51 Vernon Ave.,,Bryan,WY,82935,25,71,25,,28,,1
Mr.,Orville,B.,Dixon,Lee Realty,Realtor,TRUE, ,7255 Cross Ave.,,Rock Springs,WY,82902,5,30,5,,,,
Mrs.,Stacey,K.,Erickson,VR podcasts,Designer,TRUE, ,676 Marvon Dr. ,Apt. 5,Superior,WY,82905,20,40,40,45,,,
Mr.,Lance,,Ferguson,Safety Computing,CSCO, , ,8697 Marvon St.,,Rock Springs,WY,82902,50,55,25,35,,,
Mr.,Ted,M.,Fernandez,Rose Inc.,Respiratory Therapist, , ,8842 Cooper Lane ,Apt. 18,Rock Springs,WY,82901,50,16,9,30,,,
Mr.,Eugene,U.,Fields,Retired,, , ,44 Redwood Drive,,Rock Springs,WY,82901,20,,80,60,10,,
Mrs.,Lynda,L.,Fields,,, , ,364 E. Ridgewood Court,,Winton,WY,82945,60,35,90,5,90,,
Mrs.,Patty,P.,Fisher,K.W. Inc.,Plumber,TRUE, ,9442 Valley Road,H2,Rock Springs,WY,82901,60,30,80,,,,
Mr.,Clint,S.,Fisher,Retired,, ,TRUE,9173 East Brickell St.,,Granger,WY,82934,60,10,70,25,75,,
Mrs.,Christy,E.,Fleming,Owl Furniture,Craftswoman, , ,858 Johnson Ave.,,Rock Springs,WY,82901,60,20,65,45,70,,
Ms.,Lula,F.,Fletcher,Zapteacher,Educator, ,TRUE,8681 Hudson St.,,Winton,WY,82945,30,25,50,,80,,
Ms.,Kerry,W.,Foster,Flo International,Physical Therapist, , ,9483 Meadow Street,,Rock Springs,WY,82901,,40,35,75,,,
Mrs.,Laverne,S.,Franklin,Women in WWW,Software Developer, , ,9020 Bald Hill St.,,Rock Springs,WY,82901,20,75,25,25,25,,
Ms.,Beth,C.,Freeman,Reading Spin Org.,Public Relations Specialist, , ,827 Ohio Ave.,,Rock Springs,WY,82902,16,5,100,,5,,
Mr.,Hector,,Garner,WY.edu,Market Research Analyst,TRUE, ,49 Berkshire Street,,Rock Springs,WY,82901,45,,30,50,,,
Mr.,Luis,,Garrett,Fruit Hype Chefs,Manager, , ,8195 Bear Hill Street ,Apt. 6,Bryan,WY,82935,10,36,59,10,,,
,Seth,U.,George,Retired,,TRUE, ,973 North Fairground St.,,Rock Springs,WY,82901,40,,15,52,10,,
,Woodrow,N.,Gill,Gill & McNealy LLC,Financial Advisor, , ,9793 Hill Field Court,,Rock Springs,WY,82901,,25,75,,5,,
Dr.,Alyssa,U.,Glover,Wyoming Dental,Dentist, , ,967 Deerfield Ave.,,Rock Springs,WY,82902,30,40,5,35,90,,
Mr.,Scott,T.,Graham,Carmovers,Automotive mechanic,TRUE, ,9963 NE. Sussex Lane,,Bryan,WY,82935,,60,82,10,,,
Mr.,Randall,G.,Gray,Retired,, , ,22 Warren Street,,Rock Springs,WY,82901,40,5,40,55,,,
Ms.,Olga,A.,Gregory,Foneshare,Cashier,,TRUE,801 Lookout Dr.,,Rock Springs,WY,82901,75,30,20,65,,,
Mrs.,Betsy,F.,Gross,Systemtastic,Electrician, , ,95 Grant Court ,Apt. 22,Rock Springs,WY,82902,20,20,75,60,90,,
Mr.,Raymond,D.,Gutierrez,Well Africa Org.,Bookkeeping clerk, , ,7290 Warren St.,,Rock Springs,WY,82901,20,,65,,90,,
Ms.,Maggie,S.,Guzman,Fremont Recruitment,HR Specialist, , ,639 River Drive ,Apt. 5,Reliance,WY,82901,50,5,60,,,,
Mrs.,Leah,,Hamilton,Reading Laramie,Middle School Teacher, , ,5 Poplar St. ,Apt. 3,Rock Springs,WY,82902,,5,100,,40,,
Mrs.,Jackie,,Hardy,L.James Capital,Receptionist, , ,2 2nd St.,,Reliance,WY,82901,75,50,40,,60,,
Dr.,Brett,M.,Harper,Paramon LLC,Respiratory Therapist, ,TRUE,415 Pineknoll St.,,Rock Springs,WY,82901,36,,31,20,30,,
,Rickey,H.,Harrington,,, , ,64 Market Ave. ,#22,Granger,WY,82934,70,20,65,,80,,
Ms.,Jennie,Y.,Harris,Doodle Voice,Market Research Analyst, , ,378 Penn Ave.,#9,Rock Springs,WY,82902,75,80,30,97,50,,
Ms.,Guadalupe,J.,Harris,Basicbytes Inc.,Customer Service Representatitve, , ,7695 Trout St. ,Apt. 6,Rock Springs,WY,82902,50,50,5,60,5,,
,Willie,D.,Harrison,,, , ,7294 Orchard Ave.,,Rock Springs,WY,82901,40,35,10,60,19,,
Mr.,Amos,H.,Hart,Hart & Yolanski LLC,Construction Manager, , ,374 Lakeshore Drive,,Rock Springs,WY,82901,60,,50,15,,,
,Jessica,W.,Hawkins,Minehost Inc,Loan Officer, , ,758 Peninsula Lane,,Rock Springs,WY,82902,40,60,70,28,80,,
Mr.,Elijah,M.,Haynes,Retired,,, ,8 South Honey Creek Ave.,,Superior,WY,82905,5,45,80,60,80,,
Ms.,Margarita,,Henry,Social Views Marketing,Director, , ,382 North Lake Forest Rd. ,Apt. 3,Rock Springs,WY,82901,75,,10,10,25,,
Mrs.,Tina,N.,Herrera,,, , ,65 Mill St.,,Rock Springs,WY,82901,,5,28,,10,,
Ms.,Antonia,E.,Hodges,,, , ,49 Canal Street,B-10,Rock Springs,WY,82901,300,70,36,59,,,
Mrs.,Lydia,O.,Hoffman,,, , ,41 NW. Oak Valley St.,,Granger,WY,82934,10,40,90,70,20,,
Mrs.,Tamara,,Hogan,Retired,,, ,638 North Lilac Avenue,,Rock Springs,WY,82902,200,50,15,,60,,
,Alex,H.,Holland,JobBuilders,Computer Support Specialist, , ,8941 South Sunnyslope Ave.,,Rock Springs,WY,82901,40,30,,40,,,
Ms.,Amy,L.,Horton,Three Rivers Accounting,Manager, , ,214 Smith Ave.,,Reliance,WY,82901,60,25,50,85,80,,
Ms.,Lola,F.,Hunter,Retired,, , ,49 Middle River Street,,Rock Springs,WY,82902,50,52,10,25,,,
Ms.,Penny,Y.,Ingram,FBFantasy,Computer Hardware Engineer, ,,32 Rockaway St.,,Rock Springs,WY,82902,55,,10,10,90,,
Ms.,Alicia,O.,James,Staffberry,Bookkeeping clerk, , ,7022 W. Roosevelt St.,,Rock Springs,WY,82901,,5,19,82,60,,
Ms.,Clara,N.,Jennings,,, , ,16 Longfellow Drive,,Rock Springs,WY,82901,,50,40,,70,,
Mrs.,Ashley,A.,Jennings,Penny Co.,HR Coordinator, , ,40 Indian Summer Lane,,Rock Springs,WY,82902,35,,35,,60,,
,Tamara,R.,Jensen,Amber Charter School,Middle School Teacher, ,TRUE,9743 Thorne Ave.,,Bryan,WY,82935,5,90,5,85,20,,
,Noel,L.,Jimenez,Jimenez Bridal Programs,Director, , ,80 Annadale Ave. ,Apt. 10,Rock Springs,WY,82901,25,80,30,60,25,,
Mr.,Jake,G.,Johnson,,, , ,8811 High Point Street,,Granger,WY,82934,5,65,60,10,50,,
Mr.,Raul,,Joseph,Shadow Mart,Manager, ,,277 South Warren Court,,Rock Springs,WY,82901,75,55,70,35,75,,
Ms.,Sherri,,Kim,,, , ,785 Proctor St.,,Rock Springs,WY,82902,10,10,70,55,,,
Ms.,Elaine,,Lawrence,Magicord Inc.,Human Resources Assistant, , ,38 Hillcrest Street,,Rock Springs,WY,82901,70,36,59,,45,,
Mrs.,Mae,S.,Lee,,, , ,7624 E. High Dr.,,Winton,WY,82945,70,60,110,,20,,
,Clayton,D.,Logan,Dollar Payments,Sr. Manager,TRUE, ,634 North Gates St.,,Rock Springs,WY,82901,,10,,,85,,
Ms.,Shelly,V.,Long,Glass & Gable,Human Resources Assistant, ,TRUE,744 Market Drive,#3,Rock Springs,WY,82901,50,5,5,10,50,,
Ms.,Krystal,P.,Lopez,Wyoming Bodybuilders,Owner, , ,46 Oak Road,,Rock Springs,WY,82901,,5,75,25,,,
Mr.,Max,D.,Love,,, ,TRUE,6 Mayfield Ave.,,Rock Springs,WY,82902,25,,,93,50,,
Mr.,Edwin,,Marshall,,, , ,8871 Belmont Lane,,Rock Springs,WY,82901,5,20,,35,,,
Mr.,Joseph,G.,Martinez,OddRobot Reality,Realtor,TRUE, ,150 Cedar Swamp Ave.,,Bryan,WY,82935,30,,5,80,40,,
Ms.,Lucia,B.,Massey,Rockstar Restraurant Group,Budget analyst, , ,651 Elm Ave.,,Rock Springs,WY,82902,55,52,10,,5,,
Mr.,Robin,,Mccoy,Antell Inc.,Systems Analyst, , ,749 Second St.,,Rock Springs,WY,82902,,100,45,75,110,,
Mrs.,Carrie,B.,Mcguire,,, , ,9772 Silver Spear Drive,,Rock Springs,WY,82901,15,60,110,31,80,,
Ms.,Pearl,D.,Mckenzie,,, ,,384 Charles Dr.,,Rock Springs,WY,82902,60,5,90,,75,,
Mr.,Evan,C.,Mendez,,, , ,9440 South Peachtree Avenue,,Winton,WY,82945,60,10,10,,85,,
Mr.,Troy,,Mendoza,Note Day,Manager, , ,42 West Tanglewood Rd. ,Apt. 6,Rock Springs,WY,82901,20,65,5,80,70,,
Mr.,Samuel,L.,Miller,WyomingCall,Executive Vice President, , ,14 Rockaway St.,,Superior,WY,82905,30,19,100,30,30,,
Mr.,Ian,B.,Mitchell,,, , ,7621 Grandrose Dr.,,Rock Springs,WY,82901,,,5,40,35,,
Mrs.,Esther,A.,Montgomery,End Warehousing,Director, , ,6 Proctor Ave.,,Rock Springs,WY,82902,20,60,75,,,,
Mrs.,Belinda,,Moody,Mountain Live,Director, , ,665 Miles Street,,Granger,WY,82934,20,30,,85,,,
Mr.,Stewart,A.,Morales,Leecave Inc.,Mortgage Agent, , ,9105 Park St.,,Rock Springs,WY,82902,,20,30,10,10,,
Mr.,Ivan,S.,Morales,University Technologies,CEO, , ,65 Longfellow Street,,Rock Springs,WY,82902,100,,30,60,,,
Mr.,Gordon,W.,Morgan,,, , ,8226 Iroquois Ave.,,Rock Springs,WY,82902,5,50,40,,5,,
Mrs.,Jeannette,F.,Morris,,, , ,12 Green Hill Dr.,,Winton,WY,82945,5,30,5,,,,
,Nicholas,U.,Moss,Wyoming Engineer,Customer Service Representatitve, ,TRUE,361 Miller Drive,,Rock Springs,WY,82902,75,25,25,,50,,
Mr.,Tommy,J.,Mullins,Country Resume Builders,Interpreter & Translator,TRUE,,8303 Canterbury Court,,Rock Springs,WY,82901,5,18,5,35,85,,
Mrs.,Molly,W.,Munoz,Smartexchange,CFO, , ,7820 3rd St.,,Green River,WY,82935,10,20,,80,60,,
Mr.,Brendan,T.,Murray,Comfort Generators,Medical Secretary, , ,9435 Ohio Road,,Granger,WY,82934,,45,71,55,90,,
Dr.,Anne,F.,Newman,I.G. Bankbuilders,Logistician, , ,7783 Newcastle St.,,Rock Springs,WY,82901,20,55,60,40,8,,
Mr.,Darnell,G.,Nguyen,TaxDaddy,CPA, , ,373 S. South St.,,Rock Springs,WY,82901,40,60,70,28,80,,
Mr.,Scott,B.,Norman,Self-Employed,Recreational Therapist, , ,7275 Birch Hill Lane,,Rock Springs,WY,82901,10,,56,75,5,,
Mrs.,Rene,T.,Norris,Victoria Interiors,Landscaper & Groundskeeper, , ,7015 Alton St.,,Green River,WY,82935,50,,65,60,,,
Mr.,Marty,D.,Nunez,,, , ,95 North Gregory St.,,Rock Springs,WY,82902,,,75,,,,
Mr.,Freddie,D.,Owens,,, , ,365 South Griffin St.,,Rock Springs,WY,82901,70,,80,,10,,
Ms.,Sheryl,D.,Owens,ViewVenture,Manager, , ,846 Harrison Road,,Green River,WY,82935,75,75,30,55,90,,
Mrs.,Sheila,K.,Park,D.D. Rock Springs,Communications Coordinator, , ,53 Selby Drive ,Apt. 14,Rock Springs,WY,82902,,20,40,40,45,,
,Fred ,F.,Parks,MobileSource,Cost Estimator, , ,8 Park Rd. ,#7,Granger,WY,82934,85,25,75,45,50,,
Dr.,Katie,T.,Patrick,GSweb,Statistician, , ,777 S. Ashley St.,,Rock Springs,WY,82901,40,5,60,20,40,,
Ms.,Grace,R.,Patterson,Retired,, , ,3 Thorne Lane,,Rock Springs,WY,82901,,60,40,20,5,,
Mrs.,Tamara,L.,Patterson,PattBanking,Officer, , ,86 Joy Ridge Ave.,,Rock Springs,WY,82902,,16,9,35,30,,
Mr.,Gerardo,M.,Paul,GardenSelect Designs,Artist, , ,24 Swanson St.,,Rock Springs,WY,82901,35,65,,110,28,,
Mr.,Mark,S.,Pearson,Pearson Sales,Computer Hardware Engineer,TRUE,,44 Cedar Swamp Street,,Green River,WY,82935,25,45,35,20,65,,
Mr.,Kirk,P.,Peterson,,, , ,8648 Bridge St.,,Rock Springs,WY,82902,60,,5,19,82,,
Mrs.,Tara,D.,Pierce,Marketease,, , ,7308 Whitemarsh Street ,#2,Rock Springs,WY,82901,50,35,55,40,60,,
Ms.,Lorena,R.,Poole,Antalert,Paramedic, , ,370 Rockville Street,,Green River,WY,82935,160,25,20,44,,,
Mrs.,Virginia,,Potter,Better Installation ,Electrical Engineer, , ,7721 E. Lancaster St.,,Reliance,WY,82901,23,55,70,60,25,,
Mrs.,Pauline,,Ramirez,Accounting USA,Mathematician, , ,418 Pacific Drive,,Winton,WY,82945,5,10,,56,75,,
Ms.,Cassandra,Y.,Reed,,, , ,476 Augusta Lane,,Rock Springs,WY,82902,55,16,,,60,,
Mrs.,Viola,,Reese,Directservices Co.,Software Developer, , ,84 Saxton Lane,,Rock Springs,WY,82901,50,5,60,,,,
Mrs.,Edith,D.,Reese,Platinum Inc.,Interpreter & Translator,TRUE, ,235 North Kent Street,,Superior,WY,82905,,20,30,,85,,
Mr.,Jeff,,Reid,Independent Industry,Construction Manager, , ,8150 Swanson Rd.,Unit 8,Rock Springs,WY,82901,25,10,10,60,75,,
Ms.,Juanita,M.,Reyes,Retired,Massage Therapist, ,TRUE,39 Holly Ave.,,Rock Springs,WY,82901,,5,30,5,,,
Mr.,Eduardo,E.,Rhodes,,, , ,69 Carpenter St.,,Winton,WY,82945,5,55,60,10,,,
Ms.,Kelly,U.,Rice,Vivadollar,Receptionist, , ,486 Arnold Court,,Rock Springs,WY,82901,65,10,38,,,,
Dr.,Kerry,H.,Richards,Talent Center,Manager, , ,8192 S. Peninsula Dr.,,Rock Springs,WY,82902,,30,,,35,,
Mr.,Tyrone,W.,Rios,,, , ,7005 Shadow Brook Street,,Winton,WY,82945,100,,30,60,,,
Mrs.,Monica,B.,Roberson,Retired,, , ,7043 Fairway Street,,Rock Springs,WY,82901,70,60,40,18,40,,
Mrs.,Cecilia,T.,Roberts,Wisealbum,Librarian, , ,7573 Longbranch Lane,,Green River,WY,82935,,93,,,,,
Ms.,Pat,B.,Robertson,Retired,, , ,5 Tarkiln Hill Avenue,,Rock Springs,WY,82901,,80,,30,23,,
Ms.,Lindsay,C.,Rodriquez,,, ,,912 Richardson Lane,,Rock Springs,WY,82901,75,75,,,80,,
Mrs.,Laverne,T.,Romero,Guyand Inc.,CEO, , ,7989 Summerhouse Ave.,,Rock Springs,WY,82901,,50,5,60,,,
Mr.,Caleb,N.,Ross,Jungletea,Master Brewer,TRUE, ,608 Cobblestone Dr.,,Rock Springs,WY,82902,80,25,20,75,55,,
Mr.,Eddie,E.,Rowe,Guideport Wyoming,Event Planner, , ,448 York Dr. ,Apt. 5,Rock Springs,WY,82902,,40,40,,65,,
Mr.,Keith,L.,Ruiz,Dining Heroes,Driver,TRUE, ,11 Oakland Street,,Rock Springs,WY,82901,20,5,40,72,70,,
Ms.,Darlene,L.,Russell,PrideCorps,Human Resources Assistant, , ,223 Delaware Drive,,Rock Springs,WY,82902,40,,,100,90,,
Mr.,Marco,B.,Sanchez,,, , ,97 Augusta Ave.,,Rock Springs,WY,82901,10,10,,15,60,,
Mr.,Douglas,C.,Saunders,Editmeter,Budget Analyst, , ,9577 Argyle Rd.,Apt. 10,Rock Springs,WY,82902,60,75,,,20,,
,Fiona,L.,Schwartz,Laser Scanner Developers,Vice President, ,TRUE,7864 North Drive,,Superior,WY,82905,5,75,45,5,30,,
Dr.,Marion,V.,Shelton,Techattack of Rock Springs,Chemist, , ,22 Windsor Street ,#19,Green River,WY,82935,,,50,,45,,
Ms.,Lola,T.,Silva,,, , ,186 Dunbar Court,,Superior,WY,82905,60,20,,85,80,,
Ms.,Amber,C.,Simmons,Myton & Myton Law,Librarian, , ,7571 Elmwood Drive ,#12,Rock Springs,WY,82901,10,70,55,,20,,
Ms.,Flora,F.,Simon,,, ,TRUE,41 Franklin Ave.,,Rock Springs,WY,82901,,10,10,90,55,,
Mr.,Preston,G.,Simon,CF Geeks,Designer,TRUE, ,7 Homewood Avenue,,Rock Springs,WY,82902,60,,31,80,15,,
Ms.,Hannah,J.,Smith,Retired,, ,TRUE,895 Fairfield St.,,Winton,WY,82945,,59,50,30,,,
Mr.,Lance,P.,Steele,Steele Logistics,Graphic Designer,TRUE, ,7169 East Delaware Road,,Winton,WY,82945,75,50,15,50,40,,
Mr.,Terence,S.,Steele,Tango Host,Customer Service Representatitve, , ,9333 Shore Street,,Rock Springs,WY,82901,30,23,16,70,35,,
Mrs.,Janis,N.,Stevens,Retired,, , ,191 Laurel St. ,#30,Green River,WY,82935,85,90,50,,82,,
Mrs.,Jacqueline,,Thomas,Indoedge,CFO, , ,930 South Creekside St.,,Granger,WY,82934,25,31,,25,40,,
Mrs.,Olive,J.,Wagner,,, , ,9804 La Sierra Ave.,,Rock Springs,WY,82902,,70,55,75,25,,
Dr.,Samuel,B.,Walker,Top Medic,Psychologist, , ,476 Studebaker Lane,,Winton,WY,82945,20,60,40,75,60,,
Dr.,Robin,,Walton,Westaff,Electrical Engineer, , ,7743 Fieldstone St.,,Granger,WY,82934,70,,,,55,,
Mr.,Irvin,K.,Ward,,, , ,362 Yukon Ave.,,Rock Springs,WY,82901,,70,,,50,,
Mr.,Boyd,T.,Webster,Retired,, ,TRUE,91 Marsh St.,,Rock Springs,WY,82901,,,20,,35,,
Mrs.,Chelsea,Y.,Welch,Nancy Sullivan Travel,Personal Assistant, , ,193 East Edgewater Avenue ,Apt. 1,Rock Springs,WY,82901,5,56,,45,75,,
Mr.,Jack,G.,Wells,Home Flicks Studios,, , ,560 North St Margarets Street,,Rock Springs,WY,82902,38,70,85,5,16,,
Mr.,Lowell,,Williams,Ivy Magazine,Surveyor, , ,986 N. Newport Road,C-4,Granger,WY,82934,50,40,,60,75,,
Mr.,Todd,R.,Wise,Mobigraph,Administrative Assisstant, , ,7896 Plumb Branch Dr.,,Rock Springs,WY,82901,,75,,30,60,,
Mrs.,Marianne,K.,Wong,,,TRUE,,73 Arnold Lane ,#15,Rock Springs,WY,82901,,60,70,25,75,,
Dr.,Nellie,W.,Young,Globalex,Paralegal, , ,220 South Woodsman Ave.,,Rock Springs,WY,82901,,9,60,10,36,,
